sentence,sentiment
"Berilah seseorang ikan, maka ia akan makan untuk sehari.. Ajarilah orang itu memancing maka ia akan makan seumur hidupnya.. (Lao Tzu)",1
"Syahrini Janji Hadir Jadi Saksi, Asal? http://bit.ly/1F6pAWE  via @PojokSatu",1
"Receptionist sangat ramah, kamar bersih dan wangi. fasilitas lengkap dengan harga yg sgt terjangkau.. Ada menu makanan yg bisa dipesan dan jg lagi dg harga yg terjangkau. Mungkin hanya fasilitas wifi yang perlu diperbaiki, karna tidak bisa dipakai. ",1
Anggota Komisi I Dewan Perwakilan Rakyat RI Meutya Hafid mendukung langkah Kementerian Luar Negeri menarik dut... http://bit.ly/18d63Kc ,1
untuk harga 150rb cukup baik. walau AC nya ga dingin😊😊 tp pelayanan yg punya rumah cukup baik. ternyata dapat snack jg😊😊,1
"Saya sudah 3x menginap di sini. Tempatnya sangat worth it dengan harganya. Kamar bersih, kamar mandi juga bersih hanya saja selalu bermasalah dengan air panasnya. Overall sangat recommended",1
"Krn kamu adalah yg terakhir aku lihat sebelum tidur, dan yg pertama aku ingat ketika bangun ~hp",1
((WeekendHappy)) NOW @RaffiAhmadLagi - terbaik untukmu - @mymusic_id ((FreshMusic)),1
"RT @nogoyoso: Indonesia itu Indah gaes,lebih Indah drpd pantat syahrini. . ",1
Di Pengkalan Haji Umar dan Jeti Kampung Boyan dgn pelajar2 sekolah utk menaiki perahu tambang. Utamakan keselamatan! ,1
Mobil Indonesia Paling Ekonomis 2015 #JktOtomotif http://ow.ly/JIofE ,1
[Politik] Yorrys Himbau Elemen Golkar Bisa Tegas dan Netral http://www.jitunews.com/read/9858/yorrys-himbau-elemen-golkar-bisa-tegas-dan-netral ? #Jitunews,1
#Golkar #ARB Miss Universe Paulina Vega puji makanan Indonesia http://bit.ly/1vOMRaQ ,1
"Kamarnya bersih, aminities lengkap, petugas ramah. Cm km mandi agak bau. Yg lain bagus buat harga semurah itu.",1
"Alasan kenapa teman sejati hanya sedikit, sedangkan teman biasa banyak yang pergi http://mlsbgt.de/1wtspC4  ",1
"@JANJISUCI_TTV Gue bakalan sll menanti balutan kisah @RaffiAhmadLagi  n @Lady6igi  sampe ke london n umrah kemekkahnye, bikini yg seru ya",1
CarFreeDaynya terbuka buat member&nonmember loh.. Dress codenya pake baju abu2 ya:) see you! Cc: @JMunityOfficial @jscmila,1
"Tahap 1 pengaduan untuk orang tidak ber attitude,lancar! (with Imelda at Kantor Polisi Sektor Bojongloa Kaler) ? https://path.com/p/1IPL2y ",1
"Kita nggak bisa tau kapan orang yang kita sayang bakalan ""pergi"", yang bisa kita lakukan hanya membuat momen seindah mungkin ketika bersama.",1
