"	O
Ini	O
lebih	O
mudah	O
daripada	O
yang	O
saya	O
duga	O
,	O
"	O
kata	O
Federer	B-PERSON
,	O
seperti	O
dilansir	O
Reuters	B-ORGANIZATION
.	O

"	O
Menyedihkan	O
kalah	O
di	O
laga	O
seperti	O
ini	O
tapi	O
kami	O
tahu	O
kami	O
harus	O
berpikir	O
bagaimana	O
caranya	O
comeback	O
,	O
"	O
ujar	O
bek	O
Madrid	B-ORGANIZATION
,	O
Pepe	B-PERSON
,	O
seperti	O
dikutip	O
Football	B-ORGANIZATION
Espana	I-ORGANIZATION
.	O

Mega	B-PERSON
malah	O
mengkritik	O
wartawan	O
yang	O
selalu	O
menyebutkan	O
Laksamana	O
sebagai	O
mantan	O
orang	O
PDIP	B-ORGANIZATION
.	O

"	O
Jika	O
kami	O
tidak	O
tampil	O
bagus	O
maka	O
itu	O
akan	O
memudahkan	O
Dortmund	B-ORGANIZATION
.	O

Kalau	O
Davenport	B-PERSON
harus	O
menjalani	O
jalanan	O
berbatu	O
kerikil	O
,	O
maka	O
tidak	O
demikian	O
dengan	O
unggulan	O
utama	O
putra	O
Roger	B-PERSON
Federer	I-PERSON
.	O

Pada	O
Senin	O
malam	O
saat	O
kejadian	O
,	O
petugas	O
tower	O
yang	O
berkomunikasi	O
dengan	O
pesawat	O
Batik	B-ORGANIZATION
Air	I-ORGANIZATION
yang	O
akan	O
tinggal	O
landas	O
,	O
menggunakan	O
saluran	O
radio	O
VHF	O
yang	O
tidak	O
dapat	O
didengar	O
oleh	O
petugas	O
towing	O
yang	O
menggunakan	O
Handy	O
Talky	O
(	O
HT	O
)	O
dengan	O
saluran	O
frekuensi	O
yang	O
berbeda	O
.	O

Pasalnya	O
,	O
Federer	B-PERSON
dan	O
Wawrinka	B-PERSON
jadi	O
andalan	O
Swiss	B-LOCATION
dalam	O
mencari	O
trofi	O
Piala	O
Davis	O
pertamanya	O
dengan	O
melawan	O
Prancis	B-LOCATION
pada	O
pekan	O
depan	O
.	O

Banyak	O
kritik	O
yang	O
dilontarkan	O
dari	O
berbagai	O
pihak	O
,	O
termasuk	O
dari	O
PDIP	B-ORGANIZATION
.	O

Penyerahan	O
bantuan	O
secara	O
simbolis	O
dilakukan	O
Jokowi	B-PERSON
di	O
Desa	B-LOCATION
Sanggeng	I-LOCATION
,	O
Kecamatan	B-LOCATION
Manokwari	I-LOCATION
Barat	I-LOCATION
,	O
Manokwari	B-LOCATION
,	O
Selasa	O
(	O
5/4/2016	O
)	O
.	O

Squawka	B-ORGANIZATION
mencatat	O
Morgan	B-PERSON
sebagai	O
pemain	O
yang	O
berbahaya	O
dalam	O
tekel	O
dan	O
dominan	O
dalam	O
duel	O
di	O
udara	O
.	O

Sebelumnya	O
,	O
pada	O
pukul	O
19.55	O
WIB	O
terjadi	O
tabrakan	O
antara	O
pesawat	O
TransNusa	B-ORGANIZATION
jenis	O
ATR	O
dengan	O
nomor	O
registrasi	O
PK	O
-	O
TNJ	O
dengan	O
pesawat	O
Batik	B-ORGANIZATION
Air	I-ORGANIZATION
jenis	O
Boeing	O
737	O
-	O
800	O
bernomor	O
registrasi	O
PK	O
-	O
LBS	O
.	O

"	O
Harusnya	O
yang	O
dipanggil	O
Gus	B-PERSON
Dur	I-PERSON
,	O
bukan	O
Bu	O
Mega	B-PERSON
karena	O
status	O
Bu	O
Mega	B-PERSON
itu	O
wapres	O
yang	O
membantu	O
tugas	O
-	O
tugas	O
presiden	O
,	O
"	O
kata	O
anggota	O
Pansus	B-ORGANIZATION
Angket	I-ORGANIZATION
BBM	I-ORGANIZATION
dari	O
FPDIP	B-ORGANIZATION
,	O
Irmadi	B-PERSON
Lubis	I-PERSON
dalam	O
rapat	O
Pansus	B-ORGANIZATION
Angket	I-ORGANIZATION
BBM	I-ORGANIZATION
di	O
Gedung	B-LOCATION
DPR	I-LOCATION
,	O
Senayan	B-LOCATION
,	O
Jakarta	B-LOCATION
,	O
Kamis	O
(	O
7/8/2008	O
)	O
.	O

"	O
Tentunya	O
ini	O
adalah	O
tugas	O
berat	O
yang	O
akan	O
jadi	O
tanggungjawab	O
Polri	B-ORGANIZATION
,	O
BNN	B-ORGANIZATION
termasuk	O
dirjen	O
bea	O
cukai	O
,	O
"	O
tutupnya	O
.	O

Dana	O
Rp	O
4	O
triliun	O
sudah	O
dikucurkan	O
Ahok	B-PERSON
untuk	O
menjalankan	O
proyek	O
ini	O
.	O

Dengan	O
demikian	O
,	O
Jonatan	B-PERSON
Christie	I-PERSON
menjadi	O
satu	O
-	O
satunya	O
wakil	O
Indonesia	B-LOCATION
yang	O
tersisa	O
di	O
nomor	O
tunggal	O
putra	O
.	O

Itu	O
menarik	O
buat	O
saya	O
,	O
artinya	O
mudah	O
-	O
mudahan	O
masalah	O
pesepakbola	O
sebelum	O
bulan	O
Mei	O
akan	O
berakhir	O
,	O
"	O
kata	O
Nil	B-PERSON
Maizar	I-PERSON
dalam	O
perbincangan	O
dengan	O
detikSport	B-ORGANIZATION
.	O

Sebelumnya	O
Rektor	O
UGM	B-ORGANIZATION
juga	O
telah	O
menggandeng	O
Universitas	B-ORGANIZATION
Szent	I-ORGANIZATION
Istvan	I-ORGANIZATION
Godollo	I-ORGANIZATION
,	O
Hongaria	B-LOCATION
untuk	O
kerjasama	O
pendidikan	O
tinggi	O
.	O

Presiden	O
Jokowi	B-PERSON
juga	O
akan	O
mendengarkan	O
masukan	O
dari	O
para	O
pembantunya	O
terlebih	O
dulu	O
sebelum	O
memutuskan	O
.	O

Paris	B-LOCATION
-	O
Manchester	B-ORGANIZATION
City	I-ORGANIZATION
pulang	O
dari	O
markas	O
Paris	B-ORGANIZATION
Saint	I-ORGANIZATION
-	I-ORGANIZATION
Germain	I-ORGANIZATION
dengan	O
hasil	O
seri	O
2	O
-	O
2	O
.	O

Film	O
Disney	B-ORGANIZATION
itu	O
terus	O
-	O
terusan	O
berhasil	O
menjadi	O
box	O
office	O
hingga	O
sekuel	O
keduanya	O
.	O

Buktinya	O
,	O
dua	O
petenis	O
Swiss	B-LOCATION
,	O
Stanislas	B-PERSON
Wawrinka	I-PERSON
dan	O
Marco	B-PERSON
